U	mean	var	sigmaxx	sigmayy
3.00000000E+00	-3.86754758E-03	2.68819200E-03	0.00000000E+00	0.00000000E+00
3.24489796E+00	-4.57884732E-03	3.68984200E-03	0.00000000E+00	0.00000000E+00
3.48979592E+00	-5.35025479E-03	4.94771835E-03	0.00000000E+00	0.00000000E+00
3.73469388E+00	-6.18192703E-03	6.50213275E-03	0.00000000E+00	0.00000000E+00
3.97959184E+00	-7.07400722E-03	8.39634996E-03	0.00000000E+00	0.00000000E+00
4.22448980E+00	-8.02661746E-03	1.06765733E-02	0.00000000E+00	0.00000000E+00
4.46938776E+00	-9.03986897E-03	1.33919563E-02	0.00000000E+00	0.00000000E+00
4.71428571E+00	-1.01138612E-02	1.65945949E-02	0.00000000E+00	0.00000000E+00
4.95918367E+00	-1.12486792E-02	2.03395242E-02	0.00000000E+00	0.00000000E+00
5.20408163E+00	-1.24444197E-02	2.46847434E-02	0.00000000E+00	0.00000000E+00
5.44897959E+00	-1.37011496E-02	2.96911791E-02	0.00000000E+00	0.00000000E+00
5.69387755E+00	-1.50185998E-02	3.54227088E-02	0.00000000E+00	0.00000000E+00
5.93877551E+00	-1.63978610E-02	4.19461604E-02	0.00000000E+00	0.00000000E+00
6.18367347E+00	-1.78379723E-02	4.93313018E-02	0.00000000E+00	0.00000000E+00
6.42857143E+00	-1.93393363E-02	5.76508533E-02	0.00000000E+00	0.00000000E+00
6.67346939E+00	-2.09020049E-02	6.69804737E-02	0.00000000E+00	0.00000000E+00
6.91836735E+00	-2.25260341E-02	7.73987760E-02	0.00000000E+00	0.00000000E+00
7.16326531E+00	-2.42114706E-02	8.89873129E-02	0.00000000E+00	0.00000000E+00
7.40816327E+00	-2.59583661E-02	1.01830588E-01	0.00000000E+00	0.00000000E+00
7.65306122E+00	-2.77667617E-02	1.16016047E-01	0.00000000E+00	0.00000000E+00
7.89795918E+00	-2.96367065E-02	1.31634089E-01	0.00000000E+00	0.00000000E+00
8.14285714E+00	-3.15682380E-02	1.48778049E-01	0.00000000E+00	0.00000000E+00
8.38775510E+00	-3.35613972E-02	1.67544218E-01	0.00000000E+00	0.00000000E+00
8.63265306E+00	-3.56162228E-02	1.88031829E-01	0.00000000E+00	0.00000000E+00
8.87755102E+00	-3.77327514E-02	2.10343063E-01	0.00000000E+00	0.00000000E+00
9.12244898E+00	-3.99110177E-02	2.34583047E-01	0.00000000E+00	0.00000000E+00
9.36734694E+00	-4.21510579E-02	2.60859842E-01	0.00000000E+00	0.00000000E+00
9.61224490E+00	-4.44529062E-02	2.89284509E-01	0.00000000E+00	0.00000000E+00
9.85714286E+00	-4.68165907E-02	3.19970975E-01	0.00000000E+00	0.00000000E+00
1.01020408E+01	-4.92421446E-02	3.53036166E-01	0.00000000E+00	0.00000000E+00
1.03469388E+01	-5.17295958E-02	3.88599947E-01	0.00000000E+00	0.00000000E+00
1.05918367E+01	-5.42789680E-02	4.26785124E-01	0.00000000E+00	0.00000000E+00
1.08367347E+01	-5.68903089E-02	4.67717447E-01	0.00000000E+00	0.00000000E+00
1.10816327E+01	-5.95636260E-02	5.11525634E-01	0.00000000E+00	0.00000000E+00
1.13265306E+01	-6.22989516E-02	5.58341318E-01	0.00000000E+00	0.00000000E+00
1.15714286E+01	-6.50963106E-02	6.08299101E-01	0.00000000E+00	0.00000000E+00
1.18163265E+01	-6.79557301E-02	6.61536524E-01	0.00000000E+00	0.00000000E+00
1.20612245E+01	-7.08772307E-02	7.18194080E-01	0.00000000E+00	0.00000000E+00
1.23061224E+01	-7.38608393E-02	7.78415206E-01	0.00000000E+00	0.00000000E+00
1.25510204E+01	-7.69064985E-02	8.42346285E-01	0.00000000E+00	0.00000000E+00
1.27959184E+01	-8.00144639E-02	9.10136649E-01	0.00000000E+00	0.00000000E+00
1.30408163E+01	-8.31845233E-02	9.81938579E-01	0.00000000E+00	0.00000000E+00
1.32857143E+01	-8.64167777E-02	1.05790730E+00	0.00000000E+00	0.00000000E+00
1.35306122E+01	-8.97112469E-02	1.13820098E+00	0.00000000E+00	0.00000000E+00
1.37755102E+01	-9.30679504E-02	1.22298075E+00	0.00000000E+00	0.00000000E+00
1.40204082E+01	-9.64869024E-02	1.31241065E+00	0.00000000E+00	0.00000000E+00
1.42653061E+01	-9.99681397E-02	1.40665776E+00	0.00000000E+00	0.00000000E+00
1.45102041E+01	-1.03511662E-01	1.50589198E+00	0.00000000E+00	0.00000000E+00
1.47551020E+01	-1.07117495E-01	1.61028624E+00	0.00000000E+00	0.00000000E+00
1.50000000E+01	-1.10785657E-01	1.72001639E+00	0.00000000E+00	0.00000000E+00
