direction	xi	N
0	-1.800000E+01	4.500000E+01
5	-1.800000E+01	4.300000E+01
10	-1.800000E+01	4.300000E+01
15	-1.800000E+01	3.000000E+01
20	-1.800000E+01	3.100000E+01
25	-1.800000E+01	3.300000E+01
30	-1.800000E+01	2.400000E+01
35	-1.800000E+01	2.300000E+01
40	-1.800000E+01	1.500000E+01
45	-1.800000E+01	1.900000E+01
50	-1.800000E+01	1.900000E+01
55	-1.800000E+01	1.700000E+01
60	-1.800000E+01	1.700000E+01
65	-1.800000E+01	2.400000E+01
70	-1.800000E+01	1.800000E+01
75	-1.800000E+01	2.000000E+01
80	-1.800000E+01	1.600000E+01
85	-1.800000E+01	1.300000E+01
90	-1.800000E+01	1.200000E+01
95	-1.800000E+01	1.200000E+01
100	-1.800000E+01	1.600000E+01
105	-1.800000E+01	1.400000E+01
110	-1.800000E+01	1.400000E+01
115	-1.800000E+01	1.300000E+01
120	-1.800000E+01	1.700000E+01
125	-1.800000E+01	2.100000E+01
130	-1.800000E+01	2.500000E+01
135	-1.800000E+01	2.400000E+01
140	-1.800000E+01	2.100000E+01
145	-1.800000E+01	3.100000E+01
150	-1.800000E+01	2.700000E+01
155	-1.800000E+01	2.800000E+01
160	-1.800000E+01	3.600000E+01
165	-1.800000E+01	3.800000E+01
170	-1.800000E+01	3.500000E+01
175	-1.800000E+01	3.500000E+01
0	-1.726531E+01	5.000000E+01
5	-1.726531E+01	5.800000E+01
10	-1.726531E+01	5.200000E+01
15	-1.726531E+01	3.700000E+01
20	-1.726531E+01	3.400000E+01
25	-1.726531E+01	3.600000E+01
30	-1.726531E+01	2.900000E+01
35	-1.726531E+01	2.600000E+01
40	-1.726531E+01	2.100000E+01
45	-1.726531E+01	1.800000E+01
50	-1.726531E+01	2.600000E+01
55	-1.726531E+01	2.600000E+01
60	-1.726531E+01	1.900000E+01
65	-1.726531E+01	2.400000E+01
70	-1.726531E+01	2.100000E+01
75	-1.726531E+01	1.600000E+01
80	-1.726531E+01	1.600000E+01
85	-1.726531E+01	1.900000E+01
90	-1.726531E+01	2.000000E+01
95	-1.726531E+01	1.500000E+01
100	-1.726531E+01	1.600000E+01
105	-1.726531E+01	1.900000E+01
110	-1.726531E+01	2.100000E+01
115	-1.726531E+01	2.600000E+01
120	-1.726531E+01	2.500000E+01
125	-1.726531E+01	3.000000E+01
130	-1.726531E+01	3.500000E+01
135	-1.726531E+01	2.100000E+01
140	-1.726531E+01	2.700000E+01
145	-1.726531E+01	3.000000E+01
150	-1.726531E+01	4.000000E+01
155	-1.726531E+01	4.800000E+01
160	-1.726531E+01	4.800000E+01
165	-1.726531E+01	4.700000E+01
170	-1.726531E+01	4.700000E+01
175	-1.726531E+01	4.600000E+01
0	-1.653061E+01	5.700000E+01
5	-1.653061E+01	6.600000E+01
10	-1.653061E+01	5.800000E+01
15	-1.653061E+01	5.600000E+01
20	-1.653061E+01	4.900000E+01
25	-1.653061E+01	4.100000E+01
30	-1.653061E+01	3.600000E+01
35	-1.653061E+01	3.400000E+01
40	-1.653061E+01	2.500000E+01
45	-1.653061E+01	2.000000E+01
50	-1.653061E+01	2.300000E+01
55	-1.653061E+01	3.100000E+01
60	-1.653061E+01	2.600000E+01
65	-1.653061E+01	2.400000E+01
70	-1.653061E+01	2.200000E+01
75	-1.653061E+01	2.300000E+01
80	-1.653061E+01	2.700000E+01
85	-1.653061E+01	2.500000E+01
90	-1.653061E+01	2.800000E+01
95	-1.653061E+01	2.700000E+01
100	-1.653061E+01	2.900000E+01
105	-1.653061E+01	3.200000E+01
110	-1.653061E+01	3.800000E+01
115	-1.653061E+01	3.800000E+01
120	-1.653061E+01	3.300000E+01
125	-1.653061E+01	3.600000E+01
130	-1.653061E+01	3.700000E+01
135	-1.653061E+01	3.200000E+01
140	-1.653061E+01	2.900000E+01
145	-1.653061E+01	3.700000E+01
150	-1.653061E+01	4.300000E+01
155	-1.653061E+01	4.300000E+01
160	-1.653061E+01	6.000000E+01
165	-1.653061E+01	5.800000E+01
170	-1.653061E+01	5.900000E+01
175	-1.653061E+01	5.800000E+01
0	-1.579592E+01	6.900000E+01
5	-1.579592E+01	6.500000E+01
10	-1.579592E+01	6.600000E+01
15	-1.579592E+01	6.000000E+01
20	-1.579592E+01	7.100000E+01
25	-1.579592E+01	5.300000E+01
30	-1.579592E+01	4.600000E+01
35	-1.579592E+01	3.700000E+01
40	-1.579592E+01	4.000000E+01
45	-1.579592E+01	3.800000E+01
50	-1.579592E+01	2.800000E+01
55	-1.579592E+01	2.900000E+01
60	-1.579592E+01	3.400000E+01
65	-1.579592E+01	2.600000E+01
70	-1.579592E+01	2.900000E+01
75	-1.579592E+01	3.200000E+01
80	-1.579592E+01	3.500000E+01
85	-1.579592E+01	2.600000E+01
90	-1.579592E+01	2.700000E+01
95	-1.579592E+01	3.300000E+01
100	-1.579592E+01	3.400000E+01
105	-1.579592E+01	4.300000E+01
110	-1.579592E+01	3.900000E+01
115	-1.579592E+01	3.300000E+01
120	-1.579592E+01	3.300000E+01
125	-1.579592E+01	4.000000E+01
130	-1.579592E+01	4.100000E+01
135	-1.579592E+01	3.400000E+01
140	-1.579592E+01	4.800000E+01
145	-1.579592E+01	3.800000E+01
150	-1.579592E+01	4.800000E+01
155	-1.579592E+01	6.000000E+01
160	-1.579592E+01	6.400000E+01
165	-1.579592E+01	6.600000E+01
170	-1.579592E+01	5.800000E+01
175	-1.579592E+01	7.000000E+01
0	-1.506122E+01	7.700000E+01
5	-1.506122E+01	7.400000E+01
10	-1.506122E+01	6.500000E+01
15	-1.506122E+01	7.100000E+01
20	-1.506122E+01	6.100000E+01
25	-1.506122E+01	5.900000E+01
30	-1.506122E+01	4.500000E+01
35	-1.506122E+01	6.100000E+01
40	-1.506122E+01	5.400000E+01
45	-1.506122E+01	5.100000E+01
50	-1.506122E+01	4.900000E+01
55	-1.506122E+01	4.100000E+01
60	-1.506122E+01	4.100000E+01
65	-1.506122E+01	3.200000E+01
